gap_id,filled,east,tier,gbm_prob,area_m2,height_m,imperv_frac,dist_road,neigh_completeness,fill_ratio
0,False,False,1,0.1959,37.5,2.7,0.9684,19.7456,0.0,0.6806
1,False,True,1,0.3789,51.2,3.7,0.7698,20.6084,0.9565,0.7193
2,False,False,2,0.0359,50.5,9.3,1.0,75.8277,0.6,0.5994
3,True,True,2,0.9533,88.2,2.4,0.9875,16.9594,0.0,0.7953
4,True,False,1,0.8497,56.2,3.2,0.8851,19.1248,0.0,0.6883
5,True,True,2,0.9697,83.8,3.1,1.0,16.7887,0.0,0.8146
6,True,True,2,0.9938,137.8,3.0,0.9921,21.5338,0.0,0.7929
7,True,True,2,0.101,127.8,2.4,0.8725,19.4262,0.5,0.6901
8,True,True,2,0.9933,172.2,3.1,0.9006,23.1939,0.0,0.5784
9,True,True,2,0.9934,173.2,2.9,0.9655,20.19,0.0,0.6623
10,False,False,2,0.0058,33.8,8.3,0.6211,3.0878,0.0,0.5209
11,True,True,2,0.9915,134.5,3.0,0.9817,17.9873,0.0,0.8399
12,True,False,0,0.551,50.5,3.7,0.4741,37.9119,0.0417,0.5536
13,True,False,2,0.9756,105.0,3.4,0.9748,34.3203,0.0435,0.6717
14,True,True,2,0.9934,141.0,3.0,0.9603,16.9702,0.0769,0.6596
15,False,False,2,0.0315,31.5,5.0,0.9176,2.8192,0.0,0.5826
16,False,False,2,0.026,24.2,5.5,0.5833,0.6328,0.0,0.3346
17,False,True,1,0.6826,59.8,3.0,0.8795,14.7133,0.0,0.3409
18,True,False,2,0.9921,179.5,2.9,0.932,25.0472,0.0,0.7658
19,True,False,2,0.8225,308.0,3.6,0.943,52.3863,0.04,0.5336
20,True,False,1,0.8329,65.0,3.0,0.929,18.4621,0.0,0.6247
21,True,True,2,0.2726,141.0,2.3,0.98,18.0429,0.5455,0.6868
22,False,False,1,0.287,64.5,3.1,0.9655,54.4141,0.037,0.7266
23,True,False,2,0.9935,224.2,2.9,0.9519,18.5191,0.0,0.7666
24,True,False,2,0.9951,91.2,3.5,0.668,20.3087,0.0,0.5864
25,False,False,1,0.303,31.2,3.0,0.9318,47.945,0.037,0.5412
26,True,False,2,0.9935,134.2,2.7,0.978,19.5949,0.0,0.6788
27,True,False,2,0.9864,82.2,3.5,0.9545,20.4129,0.0,0.8039
28,True,False,2,0.9934,115.8,3.5,0.9358,19.813,0.0,0.6515
29,True,False,1,0.9951,98.2,3.0,0.4757,20.8502,0.0,0.5962
30,True,False,2,0.9935,198.0,2.7,0.9759,17.7591,0.0,0.6287
31,True,False,2,0.9935,120.5,3.2,0.921,17.7083,0.0,0.7656
32,False,False,1,0.2059,48.5,3.1,0.7402,32.4322,0.0,0.6181
33,False,False,1,0.2166,26.8,3.3,0.8571,19.1751,0.0,0.4082
34,True,False,2,0.9934,149.0,2.7,0.9494,19.3038,0.0,0.457
35,True,False,2,0.9934,160.0,3.8,0.9468,17.6215,0.0,0.7043
36,True,False,2,0.9934,212.2,3.9,0.895,16.2866,0.0,0.6289
37,False,False,2,0.0121,23.5,6.5,0.6984,1.4093,0.25,0.426
38,False,True,1,0.0539,39.8,4.0,0.4091,17.1163,0.9524,0.4964
39,False,False,1,0.1212,32.0,2.3,0.973,36.1831,0.0,0.6959
40,False,False,1,0.0917,26.5,2.8,0.7632,38.9643,0.0,0.5827
41,False,False,1,0.1703,41.8,3.4,1.0,32.732,0.0333,0.8214
42,True,False,2,0.9937,163.5,3.1,0.9867,15.185,0.0,0.6219
43,False,False,1,0.1388,39.0,7.2,0.0,35.9683,0.0312,0.7567
44,True,False,2,0.9935,163.0,3.1,0.9083,15.2765,0.0,0.7622
45,True,False,2,0.9934,152.0,3.0,0.9784,15.8178,0.0,0.6546
46,False,False,1,0.5481,61.0,3.2,0.8916,43.2458,0.1,0.4914
47,True,False,2,0.9885,110.5,2.6,1.0,19.4805,0.0286,0.8241
48,False,False,0,0.0855,25.0,2.7,0.2381,35.8358,0.0,0.6561
49,True,False,2,0.9624,197.0,2.3,0.9853,19.4599,0.0,0.594
50,True,False,2,0.9934,107.5,3.4,0.8808,16.8561,0.0,0.5932
51,True,False,2,0.9938,149.8,3.2,0.988,16.7232,0.0286,0.7326
52,True,False,2,0.9934,118.8,3.0,0.9348,18.5876,0.1071,0.6788
53,True,False,2,0.9947,148.0,2.6,1.0,18.1655,0.0,0.9053
54,True,False,2,0.9934,88.5,3.3,0.9042,16.5831,0.0,0.691
55,True,False,2,0.994,149.8,2.8,0.9879,17.2622,0.0,0.7714
56,True,True,2,0.9926,119.0,3.3,0.9763,18.2786,0.0385,0.8701
57,False,True,1,0.1077,25.8,2.4,0.9851,16.571,0.4167,0.8324
58,True,True,2,0.9935,140.0,2.8,0.9764,18.83,0.08,0.6755
59,True,False,2,0.9938,148.8,3.3,0.9804,17.453,0.0,0.7411
60,True,True,2,0.9528,187.5,2.4,0.998,19.3096,0.1364,0.6416
61,True,False,2,0.9938,117.0,3.1,0.9875,18.3002,0.0,0.7325
62,True,False,2,0.994,111.8,2.8,0.9861,19.4237,0.0,0.5571
63,True,False,2,0.9939,124.2,2.8,0.9819,19.878,0.0,0.6441
64,True,False,1,0.9216,73.5,3.8,0.9536,19.07,0.0278,0.6807
65,True,True,2,0.8854,152.5,2.3,0.9906,18.2332,0.2,0.6354
66,True,True,2,0.9951,96.8,3.1,0.7191,16.8295,0.0333,0.6715
67,True,False,2,0.9928,135.0,2.9,0.9791,17.1267,0.0,0.7401
68,True,True,2,0.9668,132.5,2.4,0.9603,18.3156,0.2353,0.6816
69,True,False,2,0.9952,153.2,2.8,0.6995,17.7167,0.0,0.6178
70,True,False,1,0.8203,75.0,3.6,0.8624,19.228,0.0,0.7247
71,True,False,2,0.9934,92.0,3.1,0.9605,18.7942,0.0,0.5865
72,True,False,2,0.9932,153.5,3.2,0.8921,17.1675,0.0,0.4674
73,False,False,1,0.295,60.0,3.6,0.9938,36.6861,0.0857,0.639
74,True,False,2,0.9934,102.8,3.4,0.9343,17.938,0.0,0.669
